event_date,mkt_medium,unique_visitors,product_visitors,segment_visitors,rfqs,sales
2018-05-24,unpaid,"20,600","1,246",984,796,144
2018-05-23,unpaid,"20,207","1,330","1,001",801,129
2018-05-22,unpaid,"20,096","1,348","1,060",903,146
2018-05-21,unpaid,"18,648","1,323","1,038",903,165
2018-05-16,unpaid,"17,913","1,459","1,108",929,154
2018-05-12,email,"17,195",195,103,78,16
2018-05-09,unpaid,"16,802","1,425","1,090",930,158
2018-05-17,unpaid,"16,795","1,147",866,766,139
2018-04-30,unpaid,"16,744","1,554","1,191","1,000",185
2018-05-15,unpaid,"16,741","1,410","1,104",925,143
2018-04-10,unpaid,"16,557","1,592","1,205",907,147
2018-05-02,unpaid,"16,541","1,461","1,096",852,137
2018-04-09,unpaid,"16,467","1,474","1,105",873,158
2018-05-10,unpaid,"16,409","1,438","1,103",970,136
2018-05-14,unpaid,"16,387","1,567","1,230","1,075",183
2018-05-30,unpaid,"15,960","1,656","1,317","1,107",236
2018-05-25,unpaid,"15,957",982,771,624,121
2018-04-25,unpaid,"15,951","1,412","1,057",875,178
2018-04-24,unpaid,"15,881","1,445","1,086",935,160
2018-05-29,unpaid,"15,823","1,546","1,230","1,067",176
2018-05-01,unpaid,"15,809","1,417","1,081",871,148
2018-04-17,unpaid,"15,644","1,390","1,039",872,141
2018-05-08,unpaid,"15,579","1,342","1,015",873,144
2017-10-07,email,"15,441",176,78,72,16
2018-04-23,unpaid,"15,277","1,458","1,082",926,207
2018-01-29,unpaid,"15,008","1,527","1,140",935,165
2018-01-31,unpaid,"14,864","1,443","1,110",952,182
2018-04-26,unpaid,"14,809","1,288",964,781,130
2018-04-11,unpaid,"14,789","1,395","1,052",860,155
2018-01-30,unpaid,"14,695","1,400","1,043",887,156
2018-05-03,unpaid,"14,626","1,389","1,090",907,134
2018-04-16,unpaid,"14,621","1,437","1,108",977,177
2018-03-19,unpaid,"14,390","1,511","1,160",964,177
2018-05-31,unpaid,"14,360","1,336","1,091",919,192
2018-05-11,unpaid,"14,313","1,376","1,066",933,150
2018-04-04,unpaid,"14,034","1,356","1,026",901,158
2018-03-20,unpaid,"13,944","1,461","1,115",980,198
2018-04-12,unpaid,"13,918","1,302",980,774,156
2018-05-18,unpaid,"13,837",982,764,645,126
2018-03-26,unpaid,"13,784","1,340","1,013",855,174
2017-02-04,email,"13,661",281,136,87,14
2018-03-27,unpaid,"13,641","1,342","1,033",836,162
2018-03-12,unpaid,"13,585","1,446","1,084",928,155
2018-04-18,unpaid,"13,580","1,244",919,762,155
2018-04-03,unpaid,"13,543","1,357","1,033",861,163
2018-03-13,unpaid,"13,541","1,375","1,005",834,153
2017-05-06,email,"13,464",212,130,90,16
2018-03-06,unpaid,"13,399","1,575","1,201",977,156
2018-03-21,unpaid,"13,398","1,387","1,026",936,196
2018-03-14,unpaid,"13,227","1,331",992,798,133
2018-01-22,unpaid,"13,185","1,415","1,065",905,145
2018-01-23,unpaid,"13,122","1,456","1,059",908,154
2018-03-05,unpaid,"13,121","1,499","1,101",943,158
2018-03-28,unpaid,"13,074","1,255",944,768,139
2018-02-26,unpaid,"13,002","1,493","1,087",912,164
2018-03-22,unpaid,"12,968","1,144",989,800,144
2018-03-07,unpaid,"12,963","1,635","1,260","1,076",120
2018-02-19,email,"12,917",239,169,163,41
2018-04-27,unpaid,"12,903","1,158",855,706,124
2018-02-27,unpaid,"12,859","1,465","1,106",900,169
2018-01-24,unpaid,"12,803","1,372","1,016",865,150
2017-12-02,email,"12,786",144,73,60,12
2018-01-15,unpaid,"12,773","1,466","1,112",923,164
2018-02-19,unpaid,"12,650","1,465","1,135",983,156
2018-04-05,unpaid,"12,613","1,213",902,733,149
2018-03-15,unpaid,"12,592","1,362","1,013",814,142
2018-01-09,unpaid,"12,449","1,390","1,000",836,145
2018-02-21,unpaid,"12,404","1,362","1,023",841,149
2018-02-05,unpaid,"12,300","1,470","1,130",933,159
2018-02-06,unpaid,"12,260","1,532","1,178",954,153
2018-03-03,email,"12,247",143,73,50,5
2018-02-20,unpaid,"12,247","1,388","1,053",868,136
2018-03-08,unpaid,"12,236","1,572","1,184",965,108
2018-04-19,unpaid,"12,222","1,091",831,690,118
2018-01-10,unpaid,"12,201","1,406","1,043",866,144
2018-01-08,unpaid,"12,131","1,347","1,027",914,166
2018-01-16,unpaid,"12,086","1,350","1,003",879,149
2018-01-11,unpaid,"11,991","1,324",997,854,144
2018-02-07,unpaid,"11,947","1,414","1,112",911,137
2018-01-17,unpaid,"11,931","1,349","1,010",810,139
2018-01-25,unpaid,"11,905","1,259",922,743,114
2018-05-04,unpaid,"11,824","1,155",920,763,125
2018-02-12,unpaid,"11,797","1,397","1,051",859,155
2018-02-22,unpaid,"11,792","1,251",961,756,124
2018-02-08,unpaid,"11,771","1,321",992,840,151
2018-02-13,unpaid,"11,729","1,409","1,071",805,151
2018-06-01,unpaid,"11,694",953,733,665,128
2018-04-13,unpaid,"11,647","1,108",832,686,128
2018-01-18,unpaid,"11,639","1,278",957,813,133
2018-02-01,unpaid,"11,563","1,347","1,021",846,127
2018-01-02,email,"11,557",618,293,233,43
2018-02-28,unpaid,"11,409","1,246",927,769,127
2018-04-06,unpaid,"11,273","1,053",776,655,142
2018-01-04,unpaid,"11,200","1,334","1,008",840,134
2017-01-03,email,"11,055",664,378,297,45
2018-03-29,unpaid,"11,050","1,162",880,748,137
2018-02-03,email,"11,039",134,70,59,18
2018-02-14,unpaid,"11,032","1,312",995,780,138
2017-03-04,email,"10,998",216,101,57,7
2018-01-03,unpaid,"10,967","1,214",943,790,145
2018-03-23,unpaid,"10,913","1,076",769,660,129
2018-02-15,unpaid,"10,787","1,275",998,767,135
2018-03-16,unpaid,"10,739","1,136",844,707,137
2018-03-01,unpaid,"10,655","1,219",910,794,161
2018-03-09,unpaid,"10,567","1,280",981,897,116
2018-04-07,email,"10,525",101,54,48,11
2018-01-26,unpaid,"10,354","1,217",895,733,127
2018-04-20,unpaid,"10,336",888,692,605,135
2017-06-03,email,"10,098",88,36,30,7
2018-01-02,unpaid,"10,052","1,168",847,676,125
2018-02-09,unpaid,"10,018","1,281","1,002",754,138
2018-02-23,unpaid,"9,985","1,119",802,670,116
2018-01-05,unpaid,"9,976","1,219",900,761,146
2018-02-02,unpaid,"9,905","1,231",940,794,139
2018-05-28,unpaid,"9,858",747,593,430,61
2018-01-06,email,"9,816",269,106,84,13
2018-04-29,unpaid,"9,802",854,667,450,59
